Name,Category,URL
Cairo Festival City Mall,Shopping Malls,/Attraction_Review-g294201-d6206087-Reviews-Cairo_Festival_City_Mall-Cairo_Cairo_Governorate.html
Heliopolis,Neighborhoods,/Attraction_Review-g294201-d480156-Reviews-Heliopolis-Cairo_Cairo_Governorate.html
Street of the Tentmakers (Sharia Khayamiya),Flea & Street Markets,/Attraction_Review-g294201-d1005681-Reviews-Street_of_the_Tentmakers_Sharia_Khayamiya-Cairo_Cairo_Governorate.html
Mall of Arabia Cairo,Shopping Malls,/Attraction_Review-g294201-d2558683-Reviews-Mall_of_Arabia_Cairo-Cairo_Cairo_Governorate.html
Synagogue Ben Ezra,Historic Sites • Religious Sites,/Attraction_Review-g294201-d471987-Reviews-Synagogue_Ben_Ezra-Cairo_Cairo_Governorate.html
Abdeen Palace Museum,History Museums,/Attraction_Review-g294201-d459958-Reviews-Abdeen_Palace_Museum-Cairo_Cairo_Governorate.html
Wekalet El Ghouri Arts Center,Convention Centers,/Attraction_Review-g294201-d2481670-Reviews-Wekalet_El_Ghouri_Arts_Center-Cairo_Cairo_Governorate.html
Mosque of Amr Ibn Al-As,Religious Sites,/Attraction_Review-g294201-d555111-Reviews-Mosque_of_Amr_Ibn_Al_As-Cairo_Cairo_Governorate.html
Baron Palace,Points of Interest & Landmarks,/Attraction_Review-g294201-d4224073-Reviews-Baron_Palace-Cairo_Cairo_Governorate.html
Mamluk Jewellery and Bazaar,Speciality & Gift Shops • Antique Shops,/Attraction_Review-g294201-d19745704-Reviews-Mamluk_Jewellery_and_Bazaar-Cairo_Cairo_Governorate.html
St Simon the Tanner Monastery,Churches & Cathedrals,/Attraction_Review-g294201-d2706147-Reviews-St_Simon_the_Tanner_Monastery-Cairo_Cairo_Governorate.html
Qalawun Complex,Historic Sites • Religious Sites,/Attraction_Review-g294201-d553193-Reviews-Qalawun_Complex-Cairo_Cairo_Governorate.html
Cairo Opera House,Theaters,/Attraction_Review-g294201-d460053-Reviews-Cairo_Opera_House-Cairo_Cairo_Governorate.html
City of the Dead (Northern Cemetery),Cemeteries,/Attraction_Review-g294201-d472081-Reviews-City_of_the_Dead_Northern_Cemetery-Cairo_Cairo_Governorate.html
Midan Hussein,Points of Interest & Landmarks,/Attraction_Review-g294201-d550575-Reviews-Midan_Hussein-Cairo_Cairo_Governorate.html
Al-Hakim Mosque,Religious Sites,/Attraction_Review-g294201-d553196-Reviews-Al_Hakim_Mosque-Cairo_Cairo_Governorate.html
Nilometer,Dams,/Attraction_Review-g294201-d2445729-Reviews-Nilometer-Cairo_Cairo_Governorate.html
Church of St,Religious Sites,/Attraction_Review-g294201-d460054-Reviews-Church_of_St_Barbara-Cairo_Cairo_Governorate.html
Mosque of Syeda Zainab,Religious Sites,/Attraction_Review-g294201-d2706216-Reviews-Mosque_of_Syeda_Zainab-Cairo_Cairo_Governorate.html
Fort of Babylon,Historic Sites,/Attraction_Review-g294201-d471979-Reviews-Fort_of_Babylon-Cairo_Cairo_Governorate.html
Iridium Spa,Health Clubs • Spas,/Attraction_Review-g294201-d23144030-Reviews-Iridium_Spa-Cairo_Cairo_Governorate.html
Pyramids Camel Ride,Safaris • Horseback Riding Tours,/Attraction_Review-g294201-d17445001-Reviews-Pyramids_Camel_Ride-Cairo_Cairo_Governorate.html
Liberation Square (Midan El-Tahreer),Points of Interest & Landmarks,/Attraction_Review-g294201-d552476-Reviews-Liberation_Square_Midan_El_Tahreer-Cairo_Cairo_Governorate.html
Kempinski The Spa,Spas,/Attraction_Review-g294201-d12168656-Reviews-Kempinski_The_Spa-Cairo_Cairo_Governorate.html
Le Quell Elite,Spas,/Attraction_Review-g294201-d19315582-Reviews-Le_Quell_Elite-Cairo_Cairo_Governorate.html
